Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.010000-Pm0.010000-Ger250-Pop250-Iter100;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.010000;0.010000;250;250;1 4 13 15 17 20 22 25 27 28 29 31 33 39 46 47 56 58 ;#NOME?;100.000000;0
1;0.010000;0.010000;250;250;1 5 9 14 17 20 29 33 34 36 38 57 58 59 60 62 63 64 ;-550.000000;100.000000;0
2;0.010000;0.010000;250;250;4 7 10 15 19 21 25 27 29 31 38 47 52 56 57 58 61 64 ;-413.000000;100.000000;0
3;0.010000;0.010000;250;250;1 3 5 12 16 17 18 25 28 29 32 33 40 42 47 48 58 59 ;-367.333344;100.000000;0
4;0.010000;0.010000;250;250;7 8 16 19 31 32 33 37 38 42 44 48 49 50 54 60 62 63 64 ;-350.500000;100.000000;0
5;0.010000;0.010000;250;250;1 2 7 8 15 23 32 33 34 35 39 41 43 45 46 58 59 63 ;-334.799988;100.000000;0
6;0.010000;0.010000;250;250;4 5 7 13 17 22 25 26 31 36 37 39 42 45 46 49 50 55 64 ;-331.000000;100.000000;0
7;0.010000;0.010000;250;250;9 18 19 25 27 32 36 40 43 44 45 50 54 55 56 58 62 63 64 ;-327.142853;100.000000;0
8;0.010000;0.010000;250;250;1 3 4 6 7 8 11 12 15 16 19 23 29 36 41 47 50 52 55 ;-323.500000;100.000000;0
9;0.010000;0.010000;250;250;1 4 13 14 18 20 21 23 28 31 35 40 41 49 57 61 63 ;-315.333344;100.000000;0
10;0.010000;0.010000;250;250;12 14 15 16 23 25 26 30 31 32 33 36 37 38 43 45 48 51 52 ;-314.600006;100.000000;0
11;0.010000;0.010000;250;250;1 6 8 15 20 23 24 25 26 28 32 34 38 40 43 52 60 ;-307.818176;100.000000;0
12;0.010000;0.010000;250;250;1 7 10 11 16 20 23 34 44 45 46 48 52 53 55 59 60 62 ;-305.666656;100.000000;0
13;0.010000;0.010000;250;250;1 6 16 23 24 26 33 35 45 47 49 52 54 55 57 60 63 ;-301.538452;100.000000;0
14;0.010000;0.010000;250;250;3 5 7 11 12 13 14 15 16 18 19 21 26 31 32 42 45 48 50 ;-301.428558;100.000000;0
15;0.010000;0.010000;250;250;2 12 16 19 20 21 23 31 32 33 34 36 40 42 43 50 51 55 57 58 ;-304.133331;100.000000;0
16;0.010000;0.010000;250;250;7 15 16 28 32 33 34 40 42 46 47 49 50 55 56 58 62 ;-300.000000;100.000000;0
17;0.010000;0.010000;250;250;10 12 24 25 26 28 29 32 34 36 38 43 50 51 54 56 58 ;-296.352936;100.000000;0
18;0.010000;0.010000;250;250;1 11 13 15 32 33 36 37 41 43 44 46 47 52 58 63 64 ;-293.333344;100.000000;0
19;0.010000;0.010000;250;250;1 3 4 7 11 16 18 29 33 34 38 43 45 48 56 64 ;-289.368408;100.000000;0
20;0.010000;0.010000;250;250;1 11 19 22 28 30 36 39 46 48 49 50 52 61 62 63 ;-286.000000;100.000000;0
21;0.010000;0.010000;250;250;1 3 7 9 14 18 23 24 29 31 35 36 47 51 53 57 58 59 64 ;-287.428558;100.000000;0
22;0.010000;0.010000;250;250;1 3 7 8 15 21 27 28 30 35 38 39 40 43 45 53 54 59 61 ;-288.181824;100.000000;0
23;0.010000;0.010000;250;250;1 14 19 20 21 22 23 24 26 27 33 34 38 46 49 50 62 64 ;-287.391296;100.000000;0
24;0.010000;0.010000;250;250;1 3 4 7 8 13 15 19 20 27 35 37 43 45 55 62 ;-284.166656;100.000000;0
25;0.010000;0.010000;250;250;2 3 19 21 22 26 27 30 33 34 35 41 43 46 47 48 58 63 ;-283.679993;100.000000;0
26;0.010000;0.010000;250;250;2 3 7 11 16 20 21 25 29 32 39 43 44 47 49 51 55 63 64 ;-284.615387;100.000000;0
27;0.010000;0.010000;250;250;8 9 14 16 21 22 27 28 29 30 41 42 46 49 51 53 ;-281.851837;100.000000;0
28;0.010000;0.010000;250;250;4 6 14 26 27 36 37 38 40 41 42 46 48 51 62 ;-278.357147;100.000000;0
