Instancias\Testes\Hibrido Instancia-Ins2-Pr0.010000-Pm0.010000-Ger10-Pop10-Iter10;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
0;0.010000;0.010000;10;10;4 5 8 9 10 14 19 20 21 23 24 25 27 28 30 32 33 35 36 39 40 48 49 53 54 59 60 ;#NOME?;100.000000;0
1;0.010000;0.010000;10;10;3 5 11 14 15 16 18 20 22 24 29 30 34 35 37 38 41 45 47 48 53 54 56 ;-1084.000000;100.000000;0
2;0.010000;0.010000;10;10;1 4 5 6 8 10 17 19 20 24 26 27 29 30 32 34 35 39 40 44 45 51 52 53 55 58 59 ;-864.000000;100.000000;0
3;0.010000;0.010000;10;10;4 7 9 10 11 14 15 19 26 29 31 33 40 41 43 48 53 54 57 58 61 62 63 64 ;-741.333313;100.000000;0
4;0.010000;0.010000;10;10;1 2 4 7 13 16 22 24 25 27 30 33 37 38 47 48 49 51 57 59 64 ;-652.000000;100.000000;0
5;0.010000;0.010000;10;10;3 4 5 6 12 19 21 22 23 25 28 29 31 35 36 38 40 42 44 52 55 57 61 62 63 ;-628.799988;100.000000;0
6;0.010000;0.010000;10;10;2 5 8 9 10 12 15 18 20 21 22 24 25 32 33 37 38 39 45 46 50 52 55 56 58 61 63 ;-630.666687;100.000000;0
7;0.010000;0.010000;10;10;8 12 13 14 17 20 21 22 23 24 25 31 34 35 37 48 49 52 53 57 64 ;-595.428589;100.000000;0
8;0.010000;0.010000;10;10;3 5 10 17 18 23 24 25 30 32 33 35 36 37 38 39 40 41 45 47 48 49 51 52 54 57 59 60 ;-606.250000;100.000000;0
9;0.010000;0.010000;10;10;1 4 5 6 17 18 19 21 24 25 27 31 33 34 36 38 40 41 43 45 47 48 50 53 54 56 57 60 63 ;-620.444458;100.000000;0
4;0.010000;0.010000;10;10;1 2 4 7 13 16 22 24 25 27 30 33 37 38 47 48 49 51 57 59 64 ;-558.400024;100.000000;0
