Trepa-Colinas;;;;
Iteracao;Solucao;MBF;Custo;Best
0;1 2 5 6 13 14 15 19 21 24 ;#NOME?;-48;0
1;2 4 13 14 18 22 24 27 ;-72.000000;-24;0
2;4 5 6 7 8 9 10 18 25 27 ;-59.000000;-46;0
3;7 9 10 11 12 24 26 27 ;-48.666668;-28;0
4;3 4 5 8 9 11 16 20 23 25 ;-50.000000;-54;0
5;4 6 10 16 18 19 21 24 26 28 ;-48.400002;-42;0
6;5 10 19 21 26 27 ;-43.000000;-16;0
7;7 8 9 16 26 28 ;-38.571430;-12;0
8;3 4 5 6 8 13 17 22 25 26 27 ;-41.500000;-62;0
9;2 4 7 11 12 15 16 20 25 ;-40.888889;-36;0
10;1 3 5 7 11 12 16 17 22 25 ;-41.000000;-42;0
11;1 12 14 17 18 21 24 ;-39.272728;-22;0
12;1 2 4 8 9 13 16 18 ;-38.166668;-26;0
13;5 8 15 17 22 23 24 25 26 28 ;-38.153847;-2;0
14;6 10 12 13 14 15 19 21 27 ;-37.142857;-24;0
15;5 10 20 ;-34.799999;-2;0
16;3 6 7 8 9 10 15 18 20 26 ;-34.500000;-30;0
17;9 15 17 18 19 20 21 ;-33.176472;-12;0
18;2 7 20 26 28 ;-31.777779;-8;0
19;2 3 6 9 12 14 17 18 22 ;-32.105263;-38;0
20;2 6 11 12 21 22 ;-31.299999;-16;0
21;1 4 7 11 12 14 15 17 18 21 22 23 27 ;-33.523811;-78;0
22;4 7 10 14 15 25 27 ;-32.636364;-14;0
23;1 3 5 9 10 20 24 25 26 28 ;-33.217392;-46;0
24;1 2 3 13 16 18 20 25 26 27 28 ;-34.416668;-62;0
25;4 7 9 10 15 20 25 26 27 ;-34.080002;-26;0
26;2 4 7 8 10 19 20 26 27 ;-34.153847;-36;0
27;3 7 12 13 16 17 ;-33.481480;-16;0
28;3 8 11 12 13 15 21 23 25 28 ;-33.928570;-46;0
29;1 2 3 4 5 19 24 25 ;-33.586208;-24;0
30;1 3 7 8 9 10 12 22 ;-33.266666;-24;0
31;3 6 7 9 15 25 27 ;-32.967743;-24;0
32;1 13 18 20 ;-32.187500;-8;0
33;1 3 5 8 9 12 17 19 26 ;-32.121212;-30;0
34;1 2 7 8 11 12 18 26 ;-32.000000;-28;0
35;15 20 21 26 28 ;-31.200001;-4;0
36;5 10 16 18 19 20 23 25 28 ;-31.166666;-30;0
37;12 17 21 23 25 27 28 ;-30.648649;-12;0
38;2 4 7 12 15 16 23 24 27 ;-30.947369;-42;0
39;8 11 17 22 23 27 28 ;-30.615385;-18;0
40;8 9 10 15 17 22 25 26 ;-30.500000;-26;0
41;1 2 3 6 9 20 26 27 ;-30.536585;-32;0
42;11 16 18 19 21 22 23 24 25 27 ;-30.809525;-42;0
43;9 10 11 16 17 19 20 21 25 28 ;-31.069767;-42;0
44;1 3 4 8 12 13 17 22 27 ;-31.181818;-36;0
45;8 10 11 13 14 15 18 26 ;-31.111111;-28;0
46;3 5 8 9 24 25 ;-30.695652;-12;0
47;3 6 12 18 ;-30.127659;-4;0
48;6 9 11 16 22 23 26 27 ;-30.166666;-32;0
49;1 2 4 5 7 10 11 14 17 22 23 ;-30.571428;-50;0
50;2 4 5 9 17 18 19 20 24 ;-30.680000;-36;0
51;4 6 11 13 14 18 22 24 25 27 28 ;-30.980392;-46;0
52;1 2 3 4 7 11 12 17 19 28 ;-31.269230;-46;0
53;1 3 8 12 13 15 16 19 ;-31.245283;-30;0
54;7 10 11 14 16 19 20 24 25 26 ;-31.518518;-46;0
55;2 4 6 10 14 22 24 ;-31.236364;-16;0
56;1 2 3 5 7 8 9 23 24 25 28 ;-31.607143;-52;0
57;4 11 14 27 28 ;-31.192982;-8;0
58;8 9 13 16 24 ;-30.862068;-12;0
59;2 3 6 11 18 23 ;-30.576271;-14;0
60;2 6 10 13 16 19 21 25 28 ;-30.666666;-36;0
61;2 4 10 11 16 18 19 21 23 25 28 ;-31.081966;-56;0
62;4 7 9 10 11 15 20 21 23 28 ;-31.354839;-48;0
63;1 3 4 5 8 10 16 17 23 ;-31.269842;-26;0
64;16 17 18 19 20 21 22 26 28 ;-31.093750;-20;0
65;6 9 10 23 26 27 28 ;-30.923077;-20;0
66;11 15 18 26 28 ;-30.636364;-12;0
67;4 8 9 15 22 24 26 27 ;-30.567163;-26;0
68;2 3 7 8 10 16 18 24 ;-30.529411;-28;0
69;2 6 22 24 27 ;-30.173914;-6;0
70;1 3 5 6 13 17 18 24 28 ;-30.171429;-30;0
71;4 6 10 11 12 13 14 15 17 ;-30.197184;-32;0
72;3 6 10 22 24 25 26 ;-30.000000;-16;0
73;6 15 19 21 25 28 ;-29.780823;-14;0
74;2 4 14 25 27 ;-29.486486;-8;0
75;10 22 24 26 27 ;-29.173334;-6;0
76;5 6 8 19 21 28 ;-29.000000;-16;0
77;2 3 4 5 10 13 14 19 ;-28.935064;-24;0
78;4 5 6 7 14 16 19 21 25 26 28 ;-29.230770;-52;0
79;3 5 13 16 17 20 21 28 ;-29.189873;-26;0
